% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.609	1	0	61	10	2	12	125
0.609	1	0	61	10	3	28	469
0.609	1	0	61	10	4	8	85
0.609	1	0	61	10	6	14	157
0.609	1	0	61	10	1	2	26
0.61	1	0	62	1	2	12	125
0.61	1	0	62	1	3	28	469
0.61	1	0	62	1	4	8	85
0.61	1	0	62	1	6	14	157
0.61	1	0	62	1	1	2	26
0.611	1	0	62	2	2	12	125
0.611	1	0	62	2	3	28	469
0.611	1	0	62	2	4	8	85
0.611	1	0	62	2	6	14	157
0.611	1	0	62	2	1	2	26
0.612	1	0	62	3	2	12	125
0.612	1	0	62	3	3	28	469
0.612	1	0	62	3	4	8	85
0.612	1	0	62	3	6	14	157
0.612	1	0	62	3	1	2	26
0.613	1	0	62	4	2	12	125
0.613	1	0	62	4	3	28	469
0.613	1	0	62	4	4	8	85
0.613	1	0	62	4	6	14	157
0.613	1	0	62	4	1	2	26
0.614	1	0	62	5	2	12	125
0.614	1	0	62	5	3	28	469
0.614	1	0	62	5	4	8	85
0.614	1	0	62	5	6	14	157
0.614	1	0	62	5	1	2	26
0.615	1	0	62	6	2	12	125
0.615	1	0	62	6	3	28	469
0.615	1	0	62	6	4	8	85
0.615	1	0	62	6	6	14	157
0.615	1	0	62	6	1	2	26
0.616	1	0	62	7	2	12	125
0.616	1	0	62	7	3	28	469
0.616	1	0	62	7	4	8	85
0.616	1	0	62	7	6	14	157
0.616	1	0	62	7	1	2	26
0.617	1	0	62	8	2	12	125
0.617	1	0	62	8	3	28	469
0.617	1	0	62	8	4	8	85
0.617	1	0	62	8	6	14	157
0.617	1	0	62	8	1	2	26
0.618	1	0	62	9	2	12	125
0.618	1	0	62	9	3	28	469
0.618	1	0	62	9	4	8	85
0.618	1	0	62	9	6	14	157
0.618	1	0	62	9	1	2	26
0.619	1	0	62	10	2	12	125
0.619	1	0	62	10	3	28	469
0.619	1	0	62	10	4	8	85
0.619	1	0	62	10	6	14	157
0.619	1	0	62	10	1	2	26
0.62	1	0	63	1	2	12	125
0.62	1	0	63	1	3	28	469
